	edge_type	node1	node2	weight
('IGF1R', 'MYL12B', 'PCnet_other')	PCnet_other	IGF1R	MYL12B	1
('IGF1R', 'PTPN11', 'STRING_database')	STRING_database	IGF1R	PTPN11	900
('IGF1R', 'PTPN11', 'STRING_coexpression')	STRING_coexpression	IGF1R	PTPN11	62
('IGF1R', 'PTPN11', 'STRING_experimental')	STRING_experimental	IGF1R	PTPN11	456
('IGF1R', 'PTPN11', 'STRING_textmining')	STRING_textmining	IGF1R	PTPN11	440
('CAMK2A', 'IGF1R', 'STRING_experimental')	STRING_experimental	CAMK2A	IGF1R	268
('CAMK2A', 'IGF1R', 'STRING_textmining')	STRING_textmining	CAMK2A	IGF1R	59
('IGF1R', 'RET', 'STRING_experimental')	STRING_experimental	IGF1R	RET	96
('IGF1R', 'RET', 'STRING_textmining')	STRING_textmining	IGF1R	RET	217
('CTNNB1', 'IGF1R', 'STRING_database')	STRING_database	CTNNB1	IGF1R	900
('CTNNB1', 'IGF1R', 'STRING_coexpression')	STRING_coexpression	CTNNB1	IGF1R	61
('CTNNB1', 'IGF1R', 'STRING_experimental')	STRING_experimental	CTNNB1	IGF1R	524
('CTNNB1', 'IGF1R', 'STRING_textmining')	STRING_textmining	CTNNB1	IGF1R	482
('IGF1R', 'SOX9', 'STRING_experimental')	STRING_experimental	IGF1R	SOX9	50
('IGF1R', 'SOX9', 'STRING_textmining')	STRING_textmining	IGF1R	SOX9	381
('IGF1R', 'TTN', 'STRING_experimental')	STRING_experimental	IGF1R	TTN	127
('IGF1R', 'TTN', 'STRING_textmining')	STRING_textmining	IGF1R	TTN	104
('IGF1R', 'MAPT', 'STRING_textmining')	STRING_textmining	IGF1R	MAPT	233
('IGF1R', 'NFATC4', 'PCnet_other')	PCnet_other	IGF1R	NFATC4	1
('IGF1R', 'JAG1', 'STRING_experimental')	STRING_experimental	IGF1R	JAG1	129
('IGF1R', 'JAG1', 'STRING_textmining')	STRING_textmining	IGF1R	JAG1	322
('IGF1R', 'YAP1', 'STRING_coexpression')	STRING_coexpression	IGF1R	YAP1	68
('IGF1R', 'YAP1', 'STRING_experimental')	STRING_experimental	IGF1R	YAP1	96
('IGF1R', 'YAP1', 'STRING_textmining')	STRING_textmining	IGF1R	YAP1	323
('ERBB4', 'MMP16', 'STRING_coexpression')	STRING_coexpression	ERBB4	MMP16	69
('ERBB4', 'MMP16', 'STRING_textmining')	STRING_textmining	ERBB4	MMP16	140
('ERBB4', 'SPTAN1', 'PCnet_other')	PCnet_other	ERBB4	SPTAN1	1
('ERBB4', 'RET', 'STRING_coexpression')	STRING_coexpression	ERBB4	RET	62
('ERBB4', 'RET', 'STRING_experimental')	STRING_experimental	ERBB4	RET	153
('ERBB4', 'RET', 'STRING_textmining')	STRING_textmining	ERBB4	RET	275
('ERBB4', 'LRRN2', 'PCnet_other')	PCnet_other	ERBB4	LRRN2	1
('CNTN2', 'ERBB4', 'STRING_coexpression')	STRING_coexpression	CNTN2	ERBB4	157
('CNTN2', 'ERBB4', 'STRING_experimental')	STRING_experimental	CNTN2	ERBB4	186
('CNTN2', 'ERBB4', 'STRING_textmining')	STRING_textmining	CNTN2	ERBB4	165
('ERBB4', 'MYCN', 'STRING_coexpression')	STRING_coexpression	ERBB4	MYCN	63
('ERBB4', 'MYCN', 'STRING_textmining')	STRING_textmining	ERBB4	MYCN	211
('ERBB4', 'RARB', 'STRING_coexpression')	STRING_coexpression	ERBB4	RARB	65
('ERBB4', 'RARB', 'STRING_experimental')	STRING_experimental	ERBB4	RARB	77
('ERBB4', 'RARB', 'STRING_textmining')	STRING_textmining	ERBB4	RARB	187
('ERBB4', 'PSEN2', 'STRING_textmining')	STRING_textmining	ERBB4	PSEN2	392
('EPB41L2', 'ERBB4', 'STRING_coexpression')	STRING_coexpression	EPB41L2	ERBB4	62
('EPB41L2', 'ERBB4', 'STRING_experimental')	STRING_experimental	EPB41L2	ERBB4	177
('EPB41L2', 'ERBB4', 'STRING_textmining')	STRING_textmining	EPB41L2	ERBB4	66
('ACTN2', 'ERBB4', 'PCnet_other')	PCnet_other	ACTN2	ERBB4	1
('ERBB4', 'LRRC4', 'PCnet_other')	PCnet_other	ERBB4	LRRC4	1
('CAMK2A', 'ERBB4', 'STRING_coexpression')	STRING_coexpression	CAMK2A	ERBB4	144
('CAMK2A', 'ERBB4', 'STRING_textmining')	STRING_textmining	CAMK2A	ERBB4	96
('CALB2', 'ERBB4', 'STRING_coexpression')	STRING_coexpression	CALB2	ERBB4	85
('CALB2', 'ERBB4', 'STRING_textmining')	STRING_textmining	CALB2	ERBB4	277
('ERBB4', 'YAP1', 'STRING_database')	STRING_database	ERBB4	YAP1	900
('ERBB4', 'YAP1', 'STRING_experimental')	STRING_experimental	ERBB4	YAP1	401
('ERBB4', 'YAP1', 'STRING_textmining')	STRING_textmining	ERBB4	YAP1	887
('CTNNB1', 'ERBB4', 'STRING_experimental')	STRING_experimental	CTNNB1	ERBB4	185
('CTNNB1', 'ERBB4', 'STRING_textmining')	STRING_textmining	CTNNB1	ERBB4	509
('ERBB4', 'TP53', 'STRING_experimental')	STRING_experimental	ERBB4	TP53	305
('ERBB4', 'TP53', 'STRING_textmining')	STRING_textmining	ERBB4	TP53	733
('ERBB4', 'PTPN11', 'STRING_experimental')	STRING_experimental	ERBB4	PTPN11	800
('ERBB4', 'PTPN11', 'STRING_textmining')	STRING_textmining	ERBB4	PTPN11	547
('ERBB4', 'NOTCH1', 'STRING_experimental')	STRING_experimental	ERBB4	NOTCH1	157
('ERBB4', 'NOTCH1', 'STRING_textmining')	STRING_textmining	ERBB4	NOTCH1	649
('ERBB4', 'GRIN2B', 'STRING_database')	STRING_database	ERBB4	GRIN2B	900
('ERBB4', 'GRIN2B', 'STRING_coexpression')	STRING_coexpression	ERBB4	GRIN2B	121
('ERBB4', 'GRIN2B', 'STRING_textmining')	STRING_textmining	ERBB4	GRIN2B	398
('ERBB4', 'MAPT', 'STRING_coexpression')	STRING_coexpression	ERBB4	MAPT	158
('ERBB4', 'MAPT', 'STRING_textmining')	STRING_textmining	ERBB4	MAPT	211
('ACTB', 'ERBB4', 'STRING_textmining')	STRING_textmining	ACTB	ERBB4	273
('LRRC4', 'LRRN2', 'PCnet_other')	PCnet_other	LRRC4	LRRN2	1
('ACTN2', 'CAMK2A', 'STRING_database')	STRING_database	ACTN2	CAMK2A	900
('ACTN2', 'CAMK2A', 'STRING_coexpression')	STRING_coexpression	ACTN2	CAMK2A	214
('ACTN2', 'CAMK2A', 'STRING_experimental')	STRING_experimental	ACTN2	CAMK2A	423
('ACTN2', 'CAMK2A', 'STRING_textmining')	STRING_textmining	ACTN2	CAMK2A	206
('CAMK2A', 'MYL12B', 'STRING_coexpression')	STRING_coexpression	CAMK2A	MYL12B	61
('CAMK2A', 'MYL12B', 'STRING_experimental')	STRING_experimental	CAMK2A	MYL12B	261
('CAMK2A', 'MYL12B', 'STRING_textmining')	STRING_textmining	CAMK2A	MYL12B	42
('ACTN4', 'CAMK2A', 'STRING_coexpression')	STRING_coexpression	ACTN4	CAMK2A	63
('ACTN4', 'CAMK2A', 'STRING_experimental')	STRING_experimental	ACTN4	CAMK2A	369
('ACTN4', 'CAMK2A', 'STRING_textmining')	STRING_textmining	ACTN4	CAMK2A	125
('CAMK2A', 'MT3', 'STRING_coexpression')	STRING_coexpression	CAMK2A	MT3	415
('CAMK2A', 'DGUOK', 'PCnet_other')	PCnet_other	CAMK2A	DGUOK	1
('CALML6', 'CAMK2A', 'STRING_database')	STRING_database	CALML6	CAMK2A	600
('CALML6', 'CAMK2A', 'STRING_experimental')	STRING_experimental	CALML6	CAMK2A	308
('CALML6', 'CAMK2A', 'STRING_textmining')	STRING_textmining	CALML6	CAMK2A	186
('CALB2', 'CAMK2A', 'STRING_coexpression')	STRING_coexpression	CALB2	CAMK2A	117
('CALB2', 'CAMK2A', 'STRING_experimental')	STRING_experimental	CALB2	CAMK2A	308
('CALB2', 'CAMK2A', 'STRING_textmining')	STRING_textmining	CALB2	CAMK2A	269
('CAMK2A', 'CNTN2', 'STRING_coexpression')	STRING_coexpression	CAMK2A	CNTN2	374
('CAMK2A', 'CNTN2', 'STRING_textmining')	STRING_textmining	CAMK2A	CNTN2	83
('CAMK2A', 'CTNNB1', 'STRING_experimental')	STRING_experimental	CAMK2A	CTNNB1	55
('CAMK2A', 'CTNNB1', 'STRING_textmining')	STRING_textmining	CAMK2A	CTNNB1	148
('CAMK2A', 'TTN', 'PCnet_other')	PCnet_other	CAMK2A	TTN	1
('CAMK2A', 'MAPT', 'STRING_database')	STRING_database	CAMK2A	MAPT	900
('CAMK2A', 'MAPT', 'STRING_coexpression')	STRING_coexpression	CAMK2A	MAPT	227
('CAMK2A', 'MAPT', 'STRING_experimental')	STRING_experimental	CAMK2A	MAPT	351
('CAMK2A', 'MAPT', 'STRING_textmining')	STRING_textmining	CAMK2A	MAPT	343
('CAMK2A', 'SPTAN1', 'PCnet_other')	PCnet_other	CAMK2A	SPTAN1	1
('CAMK2A', 'FEZF2', 'PCnet_other')	PCnet_other	CAMK2A	FEZF2	1
('ACTB', 'CAMK2A', 'STRING_experimental')	STRING_experimental	ACTB	CAMK2A	90
('ACTB', 'CAMK2A', 'STRING_textmining')	STRING_textmining	ACTB	CAMK2A	292
('CAMK2A', 'GRIN2B', 'STRING_database')	STRING_database	CAMK2A	GRIN2B	900
('CAMK2A', 'GRIN2B', 'STRING_coexpression')	STRING_coexpression	CAMK2A	GRIN2B	231
('CAMK2A', 'GRIN2B', 'STRING_experimental')	STRING_experimental	CAMK2A	GRIN2B	521
('CAMK2A', 'GRIN2B', 'STRING_textmining')	STRING_textmining	CAMK2A	GRIN2B	527
('ATP2B4', 'CAMK2A', 'STRING_coexpression')	STRING_coexpression	ATP2B4	CAMK2A	115
('ATP2B4', 'CAMK2A', 'STRING_textmining')	STRING_textmining	ATP2B4	CAMK2A	227
('CAMK2A', 'SPTBN1', 'STRING_experimental')	STRING_experimental	CAMK2A	SPTBN1	130
('CAMK2A', 'SPTBN1', 'STRING_textmining')	STRING_textmining	CAMK2A	SPTBN1	67
('SMARCD1', 'SRCAP', 'STRING_coexpression')	STRING_coexpression	SMARCD1	SRCAP	60
('SMARCD1', 'SRCAP', 'STRING_experimental')	STRING_experimental	SMARCD1	SRCAP	191
('SMARCD1', 'SRCAP', 'STRING_textmining')	STRING_textmining	SMARCD1	SRCAP	168
('CTNNB1', 'SMARCD1', 'PCnet_other')	PCnet_other	CTNNB1	SMARCD1	1
('SMARCD1', 'TCF7L2', 'PCnet_other')	PCnet_other	SMARCD1	TCF7L2	1
('HIST1H2AJ', 'SMARCD1', 'PCnet_other')	PCnet_other	HIST1H2AJ	SMARCD1	1
('CBX4', 'SMARCD1', 'PCnet_other')	PCnet_other	CBX4	SMARCD1	1
('HIST1H2AC', 'SMARCD1', 'PCnet_other')	PCnet_other	HIST1H2AC	SMARCD1	1
('HIST4H4', 'SMARCD1', 'STRING_experimental')	STRING_experimental	HIST4H4	SMARCD1	83
('HIST4H4', 'SMARCD1', 'STRING_textmining')	STRING_textmining	HIST4H4	SMARCD1	136
('DOT1L', 'SMARCD1', 'PCnet_other')	PCnet_other	DOT1L	SMARCD1	1
('SMARCB1', 'SMARCD1', 'STRING_database')	STRING_database	SMARCB1	SMARCD1	900
('SMARCB1', 'SMARCD1', 'STRING_coexpression')	STRING_coexpression	SMARCB1	SMARCD1	190
('SMARCB1', 'SMARCD1', 'STRING_experimental')	STRING_experimental	SMARCB1	SMARCD1	927
('SMARCB1', 'SMARCD1', 'STRING_textmining')	STRING_textmining	SMARCB1	SMARCD1	806
('PYGO1', 'SMARCD1', 'PCnet_other')	PCnet_other	PYGO1	SMARCD1	1
('HIST1H3D', 'SMARCD1', 'PCnet_other')	PCnet_other	HIST1H3D	SMARCD1	1
('HIST1H3J', 'SMARCD1', 'PCnet_other')	PCnet_other	HIST1H3J	SMARCD1	1
('PROSER1', 'SMARCD1', 'PCnet_other')	PCnet_other	PROSER1	SMARCD1	1
('HIST1H3H', 'SMARCD1', 'PCnet_other')	PCnet_other	HIST1H3H	SMARCD1	1
('ING1', 'SMARCD1', 'STRING_coexpression')	STRING_coexpression	ING1	SMARCD1	64
('ING1', 'SMARCD1', 'STRING_experimental')	STRING_experimental	ING1	SMARCD1	238
('ING1', 'SMARCD1', 'STRING_textmining')	STRING_textmining	ING1	SMARCD1	64
('SMARCD1', 'YAP1', 'STRING_coexpression')	STRING_coexpression	SMARCD1	YAP1	61
('SMARCD1', 'YAP1', 'STRING_experimental')	STRING_experimental	SMARCD1	YAP1	173
('SMARCD1', 'YAP1', 'STRING_textmining')	STRING_textmining	SMARCD1	YAP1	58
('SMARCD1', 'TP53', 'STRING_experimental')	STRING_experimental	SMARCD1	TP53	436
('SMARCD1', 'TP53', 'STRING_textmining')	STRING_textmining	SMARCD1	TP53	542
('SGK1', 'SMARCD1', 'PCnet_other')	PCnet_other	SGK1	SMARCD1	1
('ACTN4', 'SMARCD1', 'PCnet_other')	PCnet_other	ACTN4	SMARCD1	1
('ARID1B', 'SMARCD1', 'STRING_database')	STRING_database	ARID1B	SMARCD1	900
('ARID1B', 'SMARCD1', 'STRING_coexpression')	STRING_coexpression	ARID1B	SMARCD1	62
('ARID1B', 'SMARCD1', 'STRING_experimental')	STRING_experimental	ARID1B	SMARCD1	945
('ARID1B', 'SMARCD1', 'STRING_textmining')	STRING_textmining	ARID1B	SMARCD1	701
('ARID1A', 'SMARCD1', 'STRING_database')	STRING_database	ARID1A	SMARCD1	900
('ARID1A', 'SMARCD1', 'STRING_coexpression')	STRING_coexpression	ARID1A	SMARCD1	84
('ARID1A', 'SMARCD1', 'STRING_experimental')	STRING_experimental	ARID1A	SMARCD1	859
('ARID1A', 'SMARCD1', 'STRING_textmining')	STRING_textmining	ARID1A	SMARCD1	701
('RBBP5', 'SMARCD1', 'STRING_coexpression')	STRING_coexpression	RBBP5	SMARCD1	71
('RBBP5', 'SMARCD1', 'STRING_experimental')	STRING_experimental	RBBP5	SMARCD1	812
('RBBP5', 'SMARCD1', 'STRING_textmining')	STRING_textmining	RBBP5	SMARCD1	108
('ACTB', 'SMARCD1', 'STRING_database')	STRING_database	ACTB	SMARCD1	900
('ACTB', 'SMARCD1', 'STRING_coexpression')	STRING_coexpression	ACTB	SMARCD1	62
('ACTB', 'SMARCD1', 'STRING_experimental')	STRING_experimental	ACTB	SMARCD1	195
('ACTB', 'SMARCD1', 'STRING_textmining')	STRING_textmining	ACTB	SMARCD1	216
('ASH2L', 'PROSER1', 'PCnet_other')	PCnet_other	ASH2L	PROSER1	1
('PROSER1', 'RBBP5', 'PCnet_other')	PCnet_other	PROSER1	RBBP5	1
('N4BP2', 'PROSER1', 'PCnet_other')	PCnet_other	N4BP2	PROSER1	1
('SETD3', 'SMYD2', 'STRING_experimental')	STRING_experimental	SETD3	SMYD2	50
('SETD3', 'SMYD2', 'STRING_textmining')	STRING_textmining	SETD3	SMYD2	678
('SETD3', 'SMYD4', 'STRING_experimental')	STRING_experimental	SETD3	SMYD4	50
('SETD3', 'SMYD4', 'STRING_textmining')	STRING_textmining	SETD3	SMYD4	329
('H3F3C', 'SETD3', 'STRING_experimental')	STRING_experimental	H3F3C	SETD3	164
('H3F3C', 'SETD3', 'STRING_textmining')	STRING_textmining	H3F3C	SETD3	66
('HIST1H3D', 'SETD3', 'STRING_experimental')	STRING_experimental	HIST1H3D	SETD3	164
('HIST1H3D', 'SETD3', 'STRING_textmining')	STRING_textmining	HIST1H3D	SETD3	94
('HIST1H3J', 'SETD3', 'STRING_experimental')	STRING_experimental	HIST1H3J	SETD3	164
('HIST1H3J', 'SETD3', 'STRING_textmining')	STRING_textmining	HIST1H3J	SETD3	86
('HIST1H3H', 'SETD3', 'STRING_experimental')	STRING_experimental	HIST1H3H	SETD3	164
('HIST1H3H', 'SETD3', 'STRING_textmining')	STRING_textmining	HIST1H3H	SETD3	86
('ATP2B4', 'SPTAN1', 'STRING_experimental')	STRING_experimental	ATP2B4	SPTAN1	157
('ATP2B4', 'SPTAN1', 'STRING_textmining')	STRING_textmining	ATP2B4	SPTAN1	51
('ATP2B4', 'DST', 'STRING_coexpression')	STRING_coexpression	ATP2B4	DST	61
('ATP2B4', 'DST', 'STRING_experimental')	STRING_experimental	ATP2B4	DST	81
('ATP2B4', 'DST', 'STRING_textmining')	STRING_textmining	ATP2B4	DST	130
('ATP2B4', 'TRIO', 'STRING_coexpression')	STRING_coexpression	ATP2B4	TRIO	61
('ATP2B4', 'TRIO', 'STRING_experimental')	STRING_experimental	ATP2B4	TRIO	80
('ATP2B4', 'TRIO', 'STRING_textmining')	STRING_textmining	ATP2B4	TRIO	106
('ATP2B4', 'MYL12B', 'STRING_coexpression')	STRING_coexpression	ATP2B4	MYL12B	61
('ATP2B4', 'MYL12B', 'STRING_experimental')	STRING_experimental	ATP2B4	MYL12B	185
('ATP2B4', 'MYL12B', 'STRING_textmining')	STRING_textmining	ATP2B4	MYL12B	50
('MYH10', 'MYL12B', 'STRING_database')	STRING_database	MYH10	MYL12B	900
('MYH10', 'MYL12B', 'STRING_coexpression')	STRING_coexpression	MYH10	MYL12B	63
('MYH10', 'MYL12B', 'STRING_experimental')	STRING_experimental	MYH10	MYL12B	316
('MYH10', 'MYL12B', 'STRING_textmining')	STRING_textmining	MYH10	MYL12B	769
('ACTN2', 'MYL12B', 'STRING_coexpression')	STRING_coexpression	ACTN2	MYL12B	129
('ACTN2', 'MYL12B', 'STRING_experimental')	STRING_experimental	ACTN2	MYL12B	132
('ACTN2', 'MYL12B', 'STRING_textmining')	STRING_textmining	ACTN2	MYL12B	331
('CALML6', 'MYL12B', 'PCnet_other')	PCnet_other	CALML6	MYL12B	1
('MYL12B', 'PRDM4', 'PCnet_other')	PCnet_other	MYL12B	PRDM4	1
('ACTN4', 'MYL12B', 'STRING_coexpression')	STRING_coexpression	ACTN4	MYL12B	139
('ACTN4', 'MYL12B', 'STRING_experimental')	STRING_experimental	ACTN4	MYL12B	132
('ACTN4', 'MYL12B', 'STRING_textmining')	STRING_textmining	ACTN4	MYL12B	291
('MYL12B', 'NOTCH1', 'PCnet_other')	PCnet_other	MYL12B	NOTCH1	1
('GRIN2B', 'MYL12B', 'STRING_experimental')	STRING_experimental	GRIN2B	MYL12B	185
('GRIN2B', 'MYL12B', 'STRING_textmining')	STRING_textmining	GRIN2B	MYL12B	66
('CTNNB1', 'MYL12B', 'PCnet_other')	PCnet_other	CTNNB1	MYL12B	1
('CALB2', 'MYL12B', 'PCnet_other')	PCnet_other	CALB2	MYL12B	1
('ACTB', 'MYL12B', 'STRING_database')	STRING_database	ACTB	MYL12B	600
('ACTB', 'MYL12B', 'STRING_coexpression')	STRING_coexpression	ACTB	MYL12B	120
('ACTB', 'MYL12B', 'STRING_experimental')	STRING_experimental	ACTB	MYL12B	486
('ACTB', 'MYL12B', 'STRING_textmining')	STRING_textmining	ACTB	MYL12B	354
('MYL12B', 'SPTBN1', 'STRING_experimental')	STRING_experimental	MYL12B	SPTBN1	132
('MYL12B', 'SPTBN1', 'STRING_textmining')	STRING_textmining	MYL12B	SPTBN1	63
('KANSL3', 'KAT8', 'STRING_database')	STRING_database	KANSL3	KAT8	900
('KANSL3', 'KAT8', 'STRING_coexpression')	STRING_coexpression	KANSL3	KAT8	62
('KANSL3', 'KAT8', 'STRING_experimental')	STRING_experimental	KANSL3	KAT8	147
('KANSL3', 'KAT8', 'STRING_textmining')	STRING_textmining	KANSL3	KAT8	759
('HIST4H4', 'KAT8', 'STRING_coexpression')	STRING_coexpression	HIST4H4	KAT8	62
('HIST4H4', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST4H4	KAT8	354
('HIST4H4', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST4H4	KAT8	699
('KAT8', 'TP53', 'STRING_database')	STRING_database	KAT8	TP53	900
('KAT8', 'TP53', 'STRING_experimental')	STRING_experimental	KAT8	TP53	379
('KAT8', 'TP53', 'STRING_textmining')	STRING_textmining	KAT8	TP53	625
('ASH2L', 'KAT8', 'STRING_database')	STRING_database	ASH2L	KAT8	360
('ASH2L', 'KAT8', 'STRING_coexpression')	STRING_coexpression	ASH2L	KAT8	64
('ASH2L', 'KAT8', 'STRING_experimental')	STRING_experimental	ASH2L	KAT8	162
('ASH2L', 'KAT8', 'STRING_textmining')	STRING_textmining	ASH2L	KAT8	425
('KAT8', 'SRCAP', 'STRING_coexpression')	STRING_coexpression	KAT8	SRCAP	82
('KAT8', 'SRCAP', 'STRING_experimental')	STRING_experimental	KAT8	SRCAP	144
('KAT8', 'SRCAP', 'STRING_textmining')	STRING_textmining	KAT8	SRCAP	161
('KAT8', 'RBBP5', 'STRING_database')	STRING_database	KAT8	RBBP5	900
('KAT8', 'RBBP5', 'STRING_coexpression')	STRING_coexpression	KAT8	RBBP5	64
('KAT8', 'RBBP5', 'STRING_experimental')	STRING_experimental	KAT8	RBBP5	102
('KAT8', 'RBBP5', 'STRING_textmining')	STRING_textmining	KAT8	RBBP5	340
('HIST1H3A', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H3A	KAT8	555
('HIST1H3A', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H3A	KAT8	117
('HIST1H3D', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H3D	KAT8	340
('HIST1H3D', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H3D	KAT8	196
('HIST1H3J', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H3J	KAT8	340
('HIST1H3J', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H3J	KAT8	117
('HIST1H3H', 'KAT8', 'STRING_experimental')	STRING_experimental	HIST1H3H	KAT8	340
('HIST1H3H', 'KAT8', 'STRING_textmining')	STRING_textmining	HIST1H3H	KAT8	117
('ACTN2', 'AKAP6', 'STRING_coexpression')	STRING_coexpression	ACTN2	AKAP6	136
('ACTN2', 'AKAP6', 'STRING_textmining')	STRING_textmining	ACTN2	AKAP6	83
('AKAP6', 'TRIO', 'PCnet_other')	PCnet_other	AKAP6	TRIO	1
('ACTN4', 'AKAP6', 'PCnet_other')	PCnet_other	ACTN4	AKAP6	1
('AKAP6', 'SPTAN1', 'PCnet_other')	PCnet_other	AKAP6	SPTAN1	1
('AKAP6', 'RET', 'STRING_textmining')	STRING_textmining	AKAP6	RET	254
('AKAP6', 'TTN', 'STRING_textmining')	STRING_textmining	AKAP6	TTN	156
('AKAP6', 'SPTBN1', 'PCnet_other')	PCnet_other	AKAP6	SPTBN1	1
('CBX4', 'PCGF2', 'STRING_database')	STRING_database	CBX4	PCGF2	900
('CBX4', 'PCGF2', 'STRING_experimental')	STRING_experimental	CBX4	PCGF2	623
('CBX4', 'PCGF2', 'STRING_textmining')	STRING_textmining	CBX4	PCGF2	660
('PCGF2', 'RARB', 'STRING_database')	STRING_database	PCGF2	RARB	900
('PCGF2', 'TP53', 'STRING_textmining')	STRING_textmining	PCGF2	TP53	248
('HIST1H3A', 'PCGF2', 'STRING_experimental')	STRING_experimental	HIST1H3A	PCGF2	315
('HIST1H3A', 'PCGF2', 'STRING_textmining')	STRING_textmining	HIST1H3A	PCGF2	63
('ARID1B', 'TP53', 'STRING_coexpression')	STRING_coexpression	ARID1B	TP53	50
('ARID1B', 'TP53', 'STRING_textmining')	STRING_textmining	ARID1B	TP53	441
('ARID1B', 'PYGO1', 'STRING_textmining')	STRING_textmining	ARID1B	PYGO1	246
('ARID1B', 'ASH2L', 'STRING_textmining')	STRING_textmining	ARID1B	ASH2L	197
('ARID1A', 'ARID1B', 'STRING_database')	STRING_database	ARID1A	ARID1B	900
('ARID1A', 'ARID1B', 'STRING_coexpression')	STRING_coexpression	ARID1A	ARID1B	144
('ARID1A', 'ARID1B', 'STRING_experimental')	STRING_experimental	ARID1A	ARID1B	943
('ARID1A', 'ARID1B', 'STRING_textmining')	STRING_textmining	ARID1A	ARID1B	96
('ARID1B', 'RBBP5', 'PCnet_other')	PCnet_other	ARID1B	RBBP5	1
('ARID1B', 'CTNNB1', 'STRING_textmining')	STRING_textmining	ARID1B	CTNNB1	342
('ARID1B', 'RET', 'PCnet_other')	PCnet_other	ARID1B	RET	1
('ARID1B', 'SMARCB1', 'STRING_database')	STRING_database	ARID1B	SMARCB1	900
('ARID1B', 'SMARCB1', 'STRING_experimental')	STRING_experimental	ARID1B	SMARCB1	898
('ARID1B', 'SMARCB1', 'STRING_textmining')	STRING_textmining	ARID1B	SMARCB1	742
('ACTB', 'ARID1B', 'STRING_database')	STRING_database	ACTB	ARID1B	800
('ACTB', 'ARID1B', 'STRING_experimental')	STRING_experimental	ACTB	ARID1B	112
('ACTB', 'ARID1B', 'STRING_textmining')	STRING_textmining	ACTB	ARID1B	141
('ARID1B', 'YAP1', 'STRING_coexpression')	STRING_coexpression	ARID1B	YAP1	63
('ARID1B', 'YAP1', 'STRING_experimental')	STRING_experimental	ARID1B	YAP1	291
('ARID1B', 'YAP1', 'STRING_textmining')	STRING_textmining	ARID1B	YAP1	46
('ARID1A', 'SRCAP', 'STRING_coexpression')	STRING_coexpression	ARID1A	SRCAP	844
('ARID1A', 'SRCAP', 'STRING_experimental')	STRING_experimental	ARID1A	SRCAP	166
('ARID1A', 'SRCAP', 'STRING_textmining')	STRING_textmining	ARID1A	SRCAP	263
('ARID1A', 'HIST1H3D', 'PCnet_other')	PCnet_other	ARID1A	HIST1H3D	1
('ARID1A', 'SPTAN1', 'PCnet_other')	PCnet_other	ARID1A	SPTAN1	1
('ARID1A', 'CTNNB1', 'STRING_textmining')	STRING_textmining	ARID1A	CTNNB1	646
('ARID1A', 'BCL9L', 'PCnet_other')	PCnet_other	ARID1A	BCL9L	1
('ARID1A', 'CBX4', 'STRING_experimental')	STRING_experimental	ARID1A	CBX4	159
('ARID1A', 'CBX4', 'STRING_textmining')	STRING_textmining	ARID1A	CBX4	41
('ARID1A', 'RERE', 'STRING_coexpression')	STRING_coexpression	ARID1A	RERE	204
('ARID1A', 'RERE', 'STRING_textmining')	STRING_textmining	ARID1A	RERE	110
('ARID1A', 'RARB', 'STRING_experimental')	STRING_experimental	ARID1A	RARB	443
('ARID1A', 'RARB', 'STRING_textmining')	STRING_textmining	ARID1A	RARB	73
('ARID1A', 'TRIO', 'STRING_coexpression')	STRING_coexpression	ARID1A	TRIO	87
('ARID1A', 'TRIO', 'STRING_textmining')	STRING_textmining	ARID1A	TRIO	217
('ARID1A', 'SMARCB1', 'STRING_database')	STRING_database	ARID1A	SMARCB1	900
('ARID1A', 'SMARCB1', 'STRING_coexpression')	STRING_coexpression	ARID1A	SMARCB1	84
('ARID1A', 'SMARCB1', 'STRING_experimental')	STRING_experimental	ARID1A	SMARCB1	898
('ARID1A', 'SMARCB1', 'STRING_textmining')	STRING_textmining	ARID1A	SMARCB1	782
('ARID1A', 'PYGO1', 'PCnet_other')	PCnet_other	ARID1A	PYGO1	1
('ARID1A', 'HIST1H3A', 'PCnet_other')	PCnet_other	ARID1A	HIST1H3A	1
('ARID1A', 'HIST1H3J', 'PCnet_other')	PCnet_other	ARID1A	HIST1H3J	1
('ARID1A', 'HIST1H3H', 'PCnet_other')	PCnet_other	ARID1A	HIST1H3H	1
('ARID1A', 'ING1', 'STRING_coexpression')	STRING_coexpression	ARID1A	ING1	62
('ARID1A', 'ING1', 'STRING_experimental')	STRING_experimental	ARID1A	ING1	238
('ARID1A', 'ING1', 'STRING_textmining')	STRING_textmining	ARID1A	ING1	108
('ARID1A', 'YAP1', 'STRING_coexpression')	STRING_coexpression	ARID1A	YAP1	63
('ARID1A', 'YAP1', 'STRING_experimental')	STRING_experimental	ARID1A	YAP1	291
