symbol	description	original_symbol	matches
KRT13	keratin 13	KRT13	
KRT16	keratin 16	KRT16	
KRT80	keratin 80	KRT80	
L1CAM	L1 cell adhesion molecule	L1CAM	
LAMA5	laminin subunit alpha 5	LAMA5	
LAMB1	laminin subunit beta 1	LAMB1	
LAMC1	laminin subunit gamma 1	LAMC1	
LAMC3	laminin subunit gamma 3	LAMC3	
LANCL2	LanC like 2	LANCL2	
LARP4B	La ribonucleoprotein domain family member 4B	LARP4B	
LDLR	low density lipoprotein receptor	LDLR	
LIG3	DNA ligase 3	LIG3	
LIN7A	"lin-7 homolog A, crumbs cell polarity complex component"	LIN7A	
LIPJ	lipase family member J	LIPJ	
LMAN1	"lectin, mannose binding 1"	LMAN1	
LMTK3	lemur tyrosine kinase 3	LMTK3	
ADGRL2	adhesion G protein-coupled receptor L2	LPHN2	DIF
LRFN2	leucine rich repeat and fibronectin type III domain containing 2	LRFN2	
LRP1	LDL receptor related protein 1	LRP1	
LRP1B	LDL receptor related protein 1B	LRP1B	
LRP2	LDL receptor related protein 2	LRP2	
LRP5	LDL receptor related protein 5	LRP5	
LRP6	LDL receptor related protein 6	LRP6	
LRRFIP1	LRR binding FLII interacting protein 1	LRRFIP1	
LRRK1	leucine rich repeat kinase 1	LRRK1	
LTN1	listerin E3 ubiquitin protein ligase 1	LTN1	
LUC7L3	LUC7 like 3 pre-mRNA splicing factor	LUC7L3	
LZTR1	leucine zipper like transcription regulator 1	LZTR1	
MAK16	MAK16 homolog	MAK16	
MALSU1	mitochondrial assembly of ribosomal large subunit 1	MALSU1	
MAN1A2	mannosidase alpha class 1A member 2	MAN1A2	
MAP1S	microtubule associated protein 1S	MAP1S	
MAP2	microtubule associated protein 2	MAP2	
MAP2K3	mitogen-activated protein kinase kinase 3	MAP2K3	
MAP3K10	mitogen-activated protein kinase kinase kinase 10	MAP3K10	
MAP3K14	mitogen-activated protein kinase kinase kinase 14	MAP3K14	
MAP3K19	mitogen-activated protein kinase kinase kinase 19	MAP3K19	
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	MAPK8IP3	
MASP1	mannan binding lectin serine peptidase 1	MASP1	
MBD5	methyl-CpG binding domain protein 5	MBD5	
MBNL1	muscleblind like splicing regulator 1	MBNL1	
MCM3	minichromosome maintenance complex component 3	MCM3	
MDN1	midasin AAA ATPase 1	MDN1	
MEA1	male-enhanced antigen 1	MEA1	
MED13	mediator complex subunit 13	MED13	
MED13L	mediator complex subunit 13 like	MED13L	
MED20	mediator complex subunit 20	MED20	
MED24	mediator complex subunit 24	MED24	
MEGF11	multiple EGF like domains 11	MEGF11	
MEGF6	multiple EGF like domains 6	MEGF6	
MEIS2	Meis homeobox 2	MEIS2	
MEMO1	Methylation modifier for class I HLA	MEMO1	
MEOX2	mesenchyme homeobox 2	MEOX2	
METTL23	methyltransferase like 23	METTL23	
MFN1	mitofusin 1	MFN1	
MFRP	membrane frizzled-related protein	MFRP	
MFSD3	major facilitator superfamily domain containing 3	MFSD3	
MGAT4C	MGAT4 family member C	MGAT4C	
MIB1	mindbomb E3 ubiquitin protein ligase 1	MIB1	
MICAL2	"microtubule associated monooxygenase, calponin and LIM domain containing 2"	MICAL2	
MINK1	misshapen like kinase 1	MINK1	
MKLN1	muskelin 1	MKLN1	
MKRN2	makorin ring finger protein 2	MKRN2	
MKS1	"Meckel syndrome, type 1"	MKS1	
MLANA	melan-A	MLANA	
MMP27	matrix metallopeptidase 27	MMP27	
MORC3	MORC family CW-type zinc finger 3	MORC3	
MOV10	Mov10 RISC complex RNA helicase	MOV10	
MPHOSPH8	M-phase phosphoprotein 8	MPHOSPH8	
MPO	myeloperoxidase	MPO	
MPP6	membrane palmitoylated protein 6	MPP6	
MPZL3	myelin protein zero like 3	MPZL3	
MROH7	maestro heat like repeat family member 7	MROH7	
MRS2	"MRS2, magnesium transporter"	MRS2	
MSH6	mutS homolog 6	MSH6	
MSL2	MSL complex subunit 2	MSL2	
MTHFS	methenyltetrahydrofolate synthetase	MTHFS	
MTMR2	myotubularin related protein 2	MTMR2	
MTMR3	myotubularin related protein 3	MTMR3	
MTOR	mechanistic target of rapamycin kinase	MTOR	
MTUS1	microtubule associated scaffold protein 1	MTUS1	
MUC21	"mucin 21, cell surface associated"	MUC21	
MUC5B	"mucin 5B, oligomeric mucus/gel-forming"	MUC5B	
MUM1	melanoma associated antigen (mutated) 1	MUM1	
MYB	"MYB proto-oncogene, transcription factor"	MYB	
MYH10	myosin heavy chain 10	MYH10	
MYH2	myosin heavy chain 2	MYH2	
MYH6	myosin heavy chain 6	MYH6	
MYH9	myosin heavy chain 9	MYH9	
MYL2	myosin light chain 2	MYL2	
MYNN	myoneurin	MYNN	
MYO16	myosin XVI	MYO16	
MYO1E	myosin IE	MYO1E	
MYO3A	myosin IIIA	MYO3A	
MYO5A	myosin VA	MYO5A	
MYO5C	myosin VC	MYO5C	
MYO7B	myosin VIIB	MYO7B	
MYO9B	myosin IXB	MYO9B	
MYOF	myoferlin	MYOF	
MYOG	myogenin	MYOG	
MYOM1	myomesin 1	MYOM1	
MYOM2	myomesin 2	MYOM2	
MYT1L	myelin transcription factor 1 like	MYT1L	
N6AMT1	N-6 adenine-specific DNA methyltransferase 1	N6AMT1	
NAA15	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"	NAA15	
NAA16	"N(alpha)-acetyltransferase 16, NatA auxiliary subunit"	NAA16	
NAA40	"N(alpha)-acetyltransferase 40, NatD catalytic subunit"	NAA40	
NACA	nascent polypeptide-associated complex alpha subunit	NACA	
NACC1	nucleus accumbens associated 1	NACC1	
NALCN	"sodium leak channel, non-selective"	NALCN	
NAPRT	nicotinate phosphoribosyltransferase	NAPRT1	DIF
ICE2	interactor of little elongation complex ELL subunit 2	NARG2	DIF
NAV2	neuron navigator 2	NAV2	
NBEA	neurobeachin	NBEA	
NCKAP1	NCK associated protein 1	NCKAP1	
NCOR1	nuclear receptor corepressor 1	NCOR1	
NDST4	N-deacetylase and N-sulfotransferase 4	NDST4	
NEB	nebulin	NEB	
NEDD9	"neural precursor cell expressed, developmentally down-regulated 9"	NEDD9	
NEK10	NIMA related kinase 10	NEK10	
NEURL4	neuralized E3 ubiquitin protein ligase 4	NEURL4	
NF1	neurofibromin 1	NF1	
NFASC	neurofascin	NFASC	
NFATC2	nuclear factor of activated T-cells 2	NFATC2	
NFE2L3	"nuclear factor, erythroid 2 like 3"	NFE2L3	
NFIA	nuclear factor I A	NFIA	
NFIB	nuclear factor I B	NFIB	
NFKBIL1	NFKB inhibitor like 1	NFKBIL1	
NGFR	nerve growth factor receptor	NGFR	
NIN	ninein	NIN	
NINL	ninein like	NINL	
NLGN2	neuroligin 2	NLGN2	
NLGN3	neuroligin 3	NLGN3	
NMT1	N-myristoyltransferase 1	NMT1	
NMT2	N-myristoyltransferase 2	NMT2	
NOL9	nucleolar protein 9	NOL9	
NOS1	nitric oxide synthase 1	NOS1	
NOTCH1	notch 1	NOTCH1	
NPHP3	nephrocystin 3	NPHP3	
NR2F1	nuclear receptor subfamily 2 group F member 1	NR2F1	
NR3C2	nuclear receptor subfamily 3 group C member 2	NR3C2	
NR4A2	nuclear receptor subfamily 4 group A member 2	NR4A2	
NR6A1	nuclear receptor subfamily 6 group A member 1	NR6A1	
NRXN1	neurexin 1	NRXN1	
NSD1	nuclear receptor binding SET domain protein 1	NSD1	
NTM	neurotrimin	NTM	
NTNG1	netrin G1	NTNG1	
NUAK1	NUAK family kinase 1	NUAK1	
NUB1	negative regulator of ubiquitin like proteins 1	NUB1	
NUDCD1	NudC domain containing 1	NUDCD1	
NUDT17	nudix hydrolase 17	NUDT17	
NUP214	nucleoporin 214	NUP214	
NXPE4	neurexophilin and PC-esterase domain family member 4	NXPE4	
OAZ3	ornithine decarboxylase antizyme 3	OAZ3	
OGDH	oxoglutarate dehydrogenase	OGDH	
OLFM3	olfactomedin 3	OLFM3	
OMA1	OMA1 zinc metallopeptidase	OMA1	
ONECUT1	one cut homeobox 1	ONECUT1	
OR10S1	olfactory receptor family 10 subfamily S member 1	OR10S1	
OR10Z1	olfactory receptor family 10 subfamily Z member 1	OR10Z1	
OR2T10	olfactory receptor family 2 subfamily T member 10	OR2T10	
OR4C11	olfactory receptor family 4 subfamily C member 11	OR4C11	
OR52E8	olfactory receptor family 52 subfamily E member 8	OR52E8	
OR52M1	olfactory receptor family 52 subfamily M member 1	OR52M1	
OS9	"OS9, endoplasmic reticulum lectin"	OS9	
OSBPL8	oxysterol binding protein like 8	OSBPL8	
P2RX5	purinergic receptor P2X 5	P2RX5	
P4HA2	prolyl 4-hydroxylase subunit alpha 2	P4HA2	
PACS2	phosphofurin acidic cluster sorting protein 2	PACS2	
PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	PAFAH1B2	
PAK6	p21 (RAC1) activated kinase 6	PAK6	
PAPL	"acid phosphatase 7, tartrate resistant (putative)"	PAPL	
PARD3B	par-3 family cell polarity regulator beta	PARD3B	
PAX4	paired box 4	PAX4	
PAX5	paired box 5	PAX5	
PBRM1	polybromo 1	PBRM1	
PCBP2	poly(rC) binding protein 2	PCBP2	
PCBP3	poly(rC) binding protein 3	PCBP3	
PCDHA12	protocadherin alpha 12	PCDHA12	
PCDHA13	protocadherin alpha 13	PCDHA13	
PCDHA3	protocadherin alpha 3	PCDHA3	
PCDHB13	protocadherin beta 13	PCDHB13	
PCM1	pericentriolar material 1	PCM1	
PCNX2	pecanex homolog 2	PCNXL2	DIF
PCOLCE	procollagen C-endopeptidase enhancer	PCOLCE	
PCSK2	proprotein convertase subtilisin/kexin type 2	PCSK2	
PDCD1	programmed cell death 1	PDCD1	
PDE3B	phosphodiesterase 3B	PDE3B	
PDE6C	phosphodiesterase 6C	PDE6C	
PDIA6	protein disulfide isomerase family A member 6	PDIA6	
PDIK1L	PDLIM1 interacting kinase 1 like	PDIK1L	
PDK2	pyruvate dehydrogenase kinase 2	PDK2	
PDLIM1	PDZ and LIM domain 1	PDLIM1	
PDS5A	PDS5 cohesin associated factor A	PDS5A	
PELI1	pellino E3 ubiquitin protein ligase 1	PELI1	
PER2	period circadian regulator 2	PER2	
PFAS	phosphoribosylformylglycinamidine synthase	PFAS	
PFKFB2	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"	PFKFB2	
PFKL	"phosphofructokinase, liver type"	PFKL	
PFKM	"phosphofructokinase, muscle"	PFKM	
PFKP	"phosphofructokinase, platelet"	PFKP	
PGRMC1	progesterone receptor membrane component 1	PGRMC1	
PHF2	PHD finger protein 2	PHF2	
PHF21A	PHD finger protein 21A	PHF21A	
PHF3	PHD finger protein 3	PHF3	
PHF7	PHD finger protein 7	PHF7	
PHIP	pleckstrin homology domain interacting protein	PHIP	
PHLDB2	pleckstrin homology like domain family B member 2	PHLDB2	
PHRF1	PHD and ring finger domains 1	PHRF1	
PIGS	phosphatidylinositol glycan anchor biosynthesis class S	PIGS	
PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	PIK3AP1	
PIK3R2	phosphoinositide-3-kinase regulatory subunit 2	PIK3R2	
PIK3R4	phosphoinositide-3-kinase regulatory subunit 4	PIK3R4	
PINK1	PTEN induced putative kinase 1	PINK1	
PIWIL1	piwi like RNA-mediated gene silencing 1	PIWIL1	
PLCD4	phospholipase C delta 4	PLCD4	
PLCZ1	phospholipase C zeta 1	PLCZ1	
PLEKHO1	pleckstrin homology domain containing O1	PLEKHO1	
PLOD2	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	PLOD2	
PNPLA7	patatin like phospholipase domain containing 7	PNPLA7	
POGZ	pogo transposable element derived with ZNF domain	POGZ	
POLQ	DNA polymerase theta	POLQ	
POLRMT	RNA polymerase mitochondrial	POLRMT	
POM121	POM121 transmembrane nucleoporin	POM121	
PPARGC1B	PPARG coactivator 1 beta	PPARGC1B	
PPL	periplakin	PPL	
PPM1D	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	PPM1D	
PPP1R12A	protein phosphatase 1 regulatory subunit 12A	PPP1R12A	
PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	PPP2R5D	
PPP3CA	protein phosphatase 3 catalytic subunit alpha	PPP3CA	
PPP5C	protein phosphatase 5 catalytic subunit	PPP5C	
PPP6R2	protein phosphatase 6 regulatory subunit 2	PPP6R2	
PRDM1	PR/SET domain 1	PRDM1	
PRDM6	PR/SET domain 6	PRDM6	
PRG3	"proteoglycan 3, pro eosinophil major basic protein 2"	PRG3	
PRKCA	protein kinase C alpha	PRKCA	
PRKCH	protein kinase C eta	PRKCH	
PRKDC	"protein kinase, DNA-activated, catalytic polypeptide"	PRKDC	
PROKR2	prokineticin receptor 2	PROKR2	
PRPF8	pre-mRNA processing factor 8	PRPF8	
PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2	PRPSAP2	
PRRC2C	proline rich coiled-coil 2C	PRRC2C	
PRRG4	proline rich and Gla domain 4	PRRG4	
PRSS38	"protease, serine 38"	PRSS38	
PSD3	pleckstrin and Sec7 domain containing 3	PSD3	
PSEN1	presenilin 1	PSEN1	
PSMC1	"proteasome 26S subunit, ATPase 1"	PSMC1	
PSMD12	"proteasome 26S subunit, non-ATPase 12"	PSMD12	
PSME4	proteasome activator subunit 4	PSME4	
PTEN	phosphatase and tensin homolog	PTEN	
PTK7	protein tyrosine kinase 7 (inactive)	PTK7	
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	PTPN11	
PTPN13	"protein tyrosine phosphatase, non-receptor type 13"	PTPN13	
PTPRF	"protein tyrosine phosphatase, receptor type F"	PTPRF	
PTPRK	"protein tyrosine phosphatase, receptor type K"	PTPRK	
PTPRM	"protein tyrosine phosphatase, receptor type M"	PTPRM	
PWWP2A	PWWP domain containing 2A	PWWP2A	
PZP	"PZP, alpha-2-macroglobulin like"	PZP	
QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2	QTRTD1	DIF
RAB2A	"RAB2A, member RAS oncogene family"	RAB2A	
RAB5C	"RAB5C, member RAS oncogene family"	RAB5C	
RABGAP1L	RAB GTPase activating protein 1 like	RABGAP1L	
RAD21L1	RAD21 cohesin complex component like 1	RAD21L1	
RAD51	RAD51 recombinase	RAD51	
RAD54L2	RAD54 like 2	RAD54L2	
RAI1	retinoic acid induced 1	RAI1	
RALGAPB	Ral GTPase activating protein non-catalytic beta subunit	RALGAPB	
RANBP17	RAN binding protein 17	RANBP17	
RANBP2	RAN binding protein 2	RANBP2	
RANGAP1	Ran GTPase activating protein 1	RANGAP1	
RAPGEF4	Rap guanine nucleotide exchange factor 4	RAPGEF4	
RARA	retinoic acid receptor alpha	RARA	
RASIP1	Ras interacting protein 1	RASIP1	
RBFOX2	RNA binding fox-1 homolog 2	RBFOX2	
RBM12	RNA binding motif protein 12	RBM12	
RBM45	RNA binding motif protein 45	RBM45	
RBMS3	RNA binding motif single stranded interacting protein 3	RBMS3	
RCBTB1	RCC1 and BTB domain containing protein 1	RCBTB1	
RDH5	retinol dehydrogenase 5	RDH5	
RELN	reelin	RELN	
RETSAT	retinol saturase	RETSAT	
REXO1	RNA exonuclease 1 homolog	REXO1	
RFWD2	ring finger and WD repeat domain 2	RFWD2	
RFX3	regulatory factor X3	RFX3	
RGMA	repulsive guidance molecule family member a	RGMA	
RGPD4	RANBP2-like and GRIP domain containing 4	RGPD4	
RGS14	regulator of G protein signaling 14	RGS14	
RGS20	regulator of G protein signaling 20	RGS20	
RICTOR	RPTOR independent companion of MTOR complex 2	RICTOR	
RIMS1	regulating synaptic membrane exocytosis 1	RIMS1	
RIN2	Ras and Rab interactor 2	RIN2	
RIOK3	RIO kinase 3	RIOK3	
RIPPLY1	ripply transcriptional repressor 1	RIPPLY1	
CARMIL2	capping protein regulator and myosin 1 linker 2	RLTPR	DIF
RNF146	ring finger protein 146	RNF146	
RNF20	ring finger protein 20	RNF20	
RNF213	ring finger protein 213	RNF213	
RNF38	ring finger protein 38	RNF38	
RNPEPL1	arginyl aminopeptidase like 1	RNPEPL1	
RORB	RAR related orphan receptor B	RORB	
RP1L1	RP1 like 1	RP1L1	
RPAP1	RNA polymerase II associated protein 1	RPAP1	
RPL10	ribosomal protein L10	RPL10	
RPL21	ribosomal protein L21	RPL21	
RPS6KA1	ribosomal protein S6 kinase A1	RPS6KA1	
RPS6KA3	ribosomal protein S6 kinase A3	RPS6KA3	
RPS6KB2	ribosomal protein S6 kinase B2	RPS6KB2	
RPTOR	regulatory associated protein of MTOR complex 1	RPTOR	
RPUSD4	RNA pseudouridylate synthase domain containing 4	RPUSD4	
RRAD	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"	RRAD	
RRAGA	Ras related GTP binding A	RRAGA	
RRAGC	Ras related GTP binding C	RRAGC	
RS1	retinoschisin 1	RS1	
RSPO1	R-spondin 1	RSPO1	
RUFY2	RUN and FYVE domain containing 2	RUFY2	
RUNDC1	RUN domain containing 1	RUNDC1	
RUNDC3B	RUN domain containing 3B	RUNDC3B	
RUVBL1	RuvB like AAA ATPase 1	RUVBL1	
RXFP1	relaxin/insulin like family peptide receptor 1	RXFP1	
RYR1	ryanodine receptor 1	RYR1	
RYR2	ryanodine receptor 2	RYR2	
RYR3	ryanodine receptor 3	RYR3	
S100G	S100 calcium binding protein G	S100G	
SAMD11	sterile alpha motif domain containing 11	SAMD11	
SART1	"SART1, U4/U6.U5 tri-snRNP-associated protein 1"	SART1	
SBF1	SET binding factor 1	SBF1	
SBNO1	strawberry notch homolog 1	SBNO1	
SCAF4	SR-related CTD associated factor 4	SCAF4	
SCAMP2	secretory carrier membrane protein 2	SCAMP2	
SCN10A	sodium voltage-gated channel alpha subunit 10	SCN10A	
SCN11A	sodium voltage-gated channel alpha subunit 11	SCN11A	
SCN1A	sodium voltage-gated channel alpha subunit 1	SCN1A	
SCN2A	sodium voltage-gated channel alpha subunit 2	SCN2A	
SCN3A	sodium voltage-gated channel alpha subunit 3	SCN3A	
SCN8A	sodium voltage-gated channel alpha subunit 8	SCN8A	
SCNN1D	sodium channel epithelial 1 delta subunit	SCNN1D	
SCP2	sterol carrier protein 2	SCP2	
SCUBE2	"signal peptide, CUB domain and EGF like domain containing 2"	SCUBE2	
SCYL1	SCY1 like pseudokinase 1	SCYL1	
SDCCAG3	serologically defined colon cancer antigen 3	SDCCAG3	
SDHA	succinate dehydrogenase complex flavoprotein subunit A	SDHA	
SEC14L5	SEC14 like lipid binding 5	SEC14L5	
SERHL2	serine hydrolase like 2	SERHL2	
SETBP1	SET binding protein 1	SETBP1	
SETD2	SET domain containing 2	SETD2	
SETD5	SET domain containing 5	SETD5	
SF3B1	splicing factor 3b subunit 1	SF3B1	
SGSM3	small G protein signaling modulator 3	SGSM3	
SH2B1	SH2B adaptor protein 1	SH2B1	
SHANK2	SH3 and multiple ankyrin repeat domains 2	SHANK2	
SHANK3	SH3 and multiple ankyrin repeat domains 3	SHANK3	
SI	sucrase-isomaltase	SI	
SIGLEC5	sialic acid binding Ig like lectin 5	SIGLEC5	
SIK1	salt inducible kinase 1	SIK1	
SIK3	SIK family kinase 3	SIK3	
SIN3A	SIN3 transcription regulator family member A	SIN3A	
SIPA1L1	signal induced proliferation associated 1 like 1	SIPA1L1	
SKIDA1	SKI/DACH domain containing 1	SKIDA1	
SLC16A3	solute carrier family 16 member 3	SLC16A3	
SLC17A4	solute carrier family 17 member 4	SLC17A4	
SLC1A2	solute carrier family 1 member 2	SLC1A2	
SLC22A10	solute carrier family 22 member 10	SLC22A10	
SLC24A4	solute carrier family 24 member 4	SLC24A4	
SLC25A39	solute carrier family 25 member 39	SLC25A39	
SLC25A6	solute carrier family 25 member 6	SLC25A6	
SLC35A2	solute carrier family 35 member A2	SLC35A2	
SLC38A3	solute carrier family 38 member 3	SLC38A3	
SLC5A1	solute carrier family 5 member 1	SLC5A1	
SLC5A2	solute carrier family 5 member 2	SLC5A2	
SLC6A1	solute carrier family 6 member 1	SLC6A1	
SLC6A13	solute carrier family 6 member 13	SLC6A13	
SLC6A8	solute carrier family 6 member 8	SLC6A8	
SLC7A7	solute carrier family 7 member 7	SLC7A7	
SLCO1B7	solute carrier organic anion transporter family member 1B7 (putative)	SLCO1B7	
SLIT3	slit guidance ligand 3	SLIT3	
SLITRK5	SLIT and NTRK like family member 5	SLITRK5	
SLX4	SLX4 structure-specific endonuclease subunit	SLX4	
SMAD2	SMAD family member 2	SMAD2	
SMAD4	SMAD family member 4	SMAD4	
SMAP2	small ArfGAP2	SMAP2	
SMNDC1	survival motor neuron domain containing 1	SMNDC1	
SMURF2	SMAD specific E3 ubiquitin protein ligase 2	SMURF2	
SMYD1	SET and MYND domain containing 1	SMYD1	
SNAPC3	small nuclear RNA activating complex polypeptide 3	SNAPC3	
SNAPC5	small nuclear RNA activating complex polypeptide 5	SNAPC5	
SND1	staphylococcal nuclease and tudor domain containing 1	SND1	
MTCL1	microtubule crosslinking factor 1	SOGA2	DIF
SORBS1	sorbin and SH3 domain containing 1	SORBS1	
SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	SOS1	
SPAG9	sperm associated antigen 9	SPAG9	
SPAST	spastin	SPAST	
SPATA13	spermatogenesis associated 13	SPATA13	
SPATA5	spermatogenesis associated 5	SPATA5	
SPDYC	speedy/RINGO cell cycle regulator family member C	SPDYC	
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	SPECC1L	
SPEN	spen family transcriptional repressor	SPEN	
SPG7	"SPG7, paraplegin matrix AAA peptidase subunit"	SPG7	
SPINK5	"serine peptidase inhibitor, Kazal type 5"	SPINK5	
SPRED2	sprouty related EVH1 domain containing 2	SPRED2	
SPRY1	sprouty RTK signaling antagonist 1	SPRY1	
SPTAN1	"spectrin alpha, non-erythrocytic 1"	SPTAN1	
SPTBN1	"spectrin beta, non-erythrocytic 1"	SPTBN1	
SRCAP	Snf2 related CREBBP activator protein	SRCAP	
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	SRGAP3	
SRRM2	serine/arginine repetitive matrix 2	SRRM2	
ST5	suppression of tumorigenicity 5	ST5	
STAB1	stabilin 1	STAB1	
STAG2	stromal antigen 2	STAG2	
STAM	signal transducing adaptor molecule	STAM	
STARD10	StAR related lipid transfer domain containing 10	STARD10	
STARD9	StAR related lipid transfer domain containing 9	STARD9	
STK36	serine/threonine kinase 36	STK36	
STK38L	serine/threonine kinase 38 like	STK38L	
STT3A	"STT3A, catalytic subunit of the oligosaccharyltransferase complex"	STT3A	
STX1B	syntaxin 1B	STX1B	
STXBP1	syntaxin binding protein 1	STXBP1	
SUCLG2	succinate-CoA ligase GDP-forming beta subunit	SUCLG2	
SUFU	SUFU negative regulator of hedgehog signaling	SUFU	
KMT5B	lysine methyltransferase 5B	SUV420H1	DIF
SV2B	synaptic vesicle glycoprotein 2B	SV2B	
SVEP1	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	SVEP1	
SYNE1	spectrin repeat containing nuclear envelope protein 1	SYNE1	
SYNGAP1	synaptic Ras GTPase activating protein 1	SYNGAP1	
SYT7	synaptotagmin 7	SYT7	
TAAR2	trace amine associated receptor 2 (gene/pseudogene)	TAAR2	
TAF1	TATA-box binding protein associated factor 1	TAF1	
TAF6	TATA-box binding protein associated factor 6	TAF6	
TANC2	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"	TANC2	
TAOK3	TAO kinase 3	TAOK3	
TARS2	"threonyl-tRNA synthetase 2, mitochondrial (putative)"	TARS2	
TBC1D2	TBC1 domain family member 2	TBC1D2	
TBC1D22B	TBC1 domain family member 22B	TBC1D22B	
TBC1D23	TBC1 domain family member 23	TBC1D23	
TBC1D8B	TBC1 domain family member 8B	TBC1D8B	
TBL1XR1	transducin beta like 1 X-linked receptor 1	TBL1XR1	
TBR1	"T-box, brain 1"	TBR1	
TCF12	transcription factor 12	TCF12	
TCF7L2	transcription factor 7 like 2	TCF7L2	
TECTA	tectorin alpha	TECTA	
TENM4	teneurin transmembrane protein 4	TENM4	
TERF2	telomeric repeat binding factor 2	TERF2	
TFDP1	transcription factor Dp-1	TFDP1	
TFE3	transcription factor binding to IGHM enhancer 3	TFE3	
TGIF1	TGFB induced factor homeobox 1	TGIF1	
TGM3	transglutaminase 3	TGM3	
THADA	"THADA, armadillo repeat containing"	THADA	
THAP5	THAP domain containing 5	THAP5	
THBS2	thrombospondin 2	THBS2	
THBS3	thrombospondin 3	THBS3	
THOC2	THO complex 2	THOC2	
THSD7A	thrombospondin type 1 domain containing 7A	THSD7A	
TLE4	transducin like enhancer of split 4	TLE4	
TLK2	tousled like kinase 2	TLK2	
TM4SF19	transmembrane 4 L six family member 19	TM4SF19	
TMEM39B	transmembrane protein 39B	TMEM39B	
TMF1	TATA element modulatory factor 1	TMF1	
TMPRSS2	"transmembrane protease, serine 2"	TMPRSS2	
TNFRSF8	TNF receptor superfamily member 8	TNFRSF8	
TNRC18	trinucleotide repeat containing 18	TNRC18	
TNRC6B	trinucleotide repeat containing 6B	TNRC6B	
TNS1	tensin 1	TNS1	
TOP3B	DNA topoisomerase III beta	TOP3B	
TOR1AIP2	torsin 1A interacting protein 2	TOR1AIP2	
TPTE	transmembrane phosphatase with tensin homology	TPTE	
TRAK1	trafficking kinesin protein 1	TRAK1	
TRAPPC10	trafficking protein particle complex 10	TRAPPC10	
TRAPPC11	trafficking protein particle complex 11	TRAPPC11	
TRIB2	tribbles pseudokinase 2	TRIB2	
TRIM17	tripartite motif containing 17	TRIM17	
TRIM29	tripartite motif containing 29	TRIM29	
TRIM37	tripartite motif containing 37	TRIM37	
TRIM55	tripartite motif containing 55	TRIM55	
TRIM8	tripartite motif containing 8	TRIM8	
TRIO	trio Rho guanine nucleotide exchange factor	TRIO	
TRIP12	thyroid hormone receptor interactor 12	TRIP12	
TROVE2	TROVE domain family member 2	TROVE2	
TRPC5	transient receptor potential cation channel subfamily C member 5	TRPC5	
TRPM3	transient receptor potential cation channel subfamily M member 3	TRPM3	
TRPM5	transient receptor potential cation channel subfamily M member 5	TRPM5	
TRPM6	transient receptor potential cation channel subfamily M member 6	TRPM6	
TRPV5	transient receptor potential cation channel subfamily V member 5	TRPV5	
TRRAP	transformation/transcription domain associated protein	TRRAP	
TSC1	TSC complex subunit 1	TSC1	
TSEN2	tRNA splicing endonuclease subunit 2	TSEN2	
TSPAN17	tetraspanin 17	TSPAN17	
TSPAN4	tetraspanin 4	TSPAN4	
TTC21A	tetratricopeptide repeat domain 21A	TTC21A	
TTF1	transcription termination factor 1	TTF1	
TTN	titin	TTN	
TUBA1A	tubulin alpha 1a	TUBA1A	
TUBA1C	tubulin alpha 1c	TUBA1C	
TUBB2A	tubulin beta 2A class IIa	TUBB2A	
TUBB6	tubulin beta 6 class V	TUBB6	
TUSC1	tumor suppressor candidate 1	TUSC1	
TYW5	tRNA-yW synthesizing protein 5	TYW5	
U2SURP	U2 snRNP associated SURP domain containing	U2SURP	
UBAP2L	ubiquitin associated protein 2 like	UBAP2L	
UBE2B	ubiquitin conjugating enzyme E2 B	UBE2B	
UBE2H	ubiquitin conjugating enzyme E2 H	UBE2H	
UBN2	ubinuclein 2	UBN2	
UBQLN4	ubiquilin 4	UBQLN4	
UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	UBR3	
UBR5	ubiquitin protein ligase E3 component n-recognin 5	UBR5	
UCHL3	ubiquitin C-terminal hydrolase L3	UCHL3	
UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	UGGT1	
UGT1A10	UDP glucuronosyltransferase family 1 member A10	UGT1A10	
UMODL1	uromodulin like 1	UMODL1	
UNC5B	unc-5 netrin receptor B	UNC5B	
UNC79	"unc-79 homolog, NALCN channel complex subunit"	UNC79	
UNC80	"unc-80 homolog, NALCN channel complex subunit"	UNC80	
